500.0000, 0.0612, 0.2397, 0.0051, 0.0199, 0.1696, 0.6619, 0.9944, 0.6769, 1.0304, -2.0694, 0.0297, -0.0017, -0.0554, 0.9910, -0.0554, -1.8466, -0.2698, 0.0149
520.0000, 0.0737, 0.2613, 0.0051, 0.0199, 0.1696, 0.6619, 0.9944, 0.6769, 1.0304, -2.0694, 0.0309, -0.0018, -0.0621, 1.0286, -0.0605, -2.0694, -0.2686, 0.0168
540.0000, 0.0737, 0.2613, 0.0056, 0.0208, 0.2058, 0.7242, 0.9907, 0.6712, 1.0345, -2.0464, 0.0310, -0.0019, -0.0614, 1.0325, -0.0638, -2.0464, -0.2685, 0.0165
560.0000, 0.0873, 0.2823, 0.0062, 0.0217, 0.2043, 0.7217, 1.0283, 0.7373, 1.0300, -2.0305, 0.0308, -0.0019, -0.0609, 1.0281, -0.0629, -2.0305, -0.2686, 0.0164
580.0000, 0.0873, 0.2823, 0.0062, 0.0217, 0.2043, 0.7217, 1.0283, 0.7373, 1.0713, -2.2444, 0.0321, -0.0020, -0.0673, 1.0691, -0.0686, -2.2444, -0.2672, 0.0182
600.0000, 0.0873, 0.2823, 0.0067, 0.0226, 0.2435, 0.7819, 1.0245, 0.7322, 1.0756, -2.2214, 0.0322, -0.0022, -0.0666, 1.0732, -0.0720, -2.2214, -0.2671, 0.0178
620.0000, 0.1020, 0.3026, 0.0079, 0.0243, 0.2857, 0.8401, 1.1112, 0.8598, 1.1656, -2.6146, 0.0321, -0.0021, -0.0662, 1.0686, -0.0711, -2.2078, -0.2673, 0.0177
640.0000, 0.1020, 0.3026, 0.0085, 0.0251, 0.2821, 0.8348, 1.1021, 0.8499, 1.1656, -2.6146, 0.0349, -0.0024, -0.0784, 1.1626, -0.0842, -2.6146, -0.2642, 0.0211
660.0000, 0.1176, 0.3221, 0.0085, 0.0251, 0.2821, 0.8348, 1.1021, 0.8499, 1.1653, -2.5363, 0.0349, -0.0027, -0.0761, 1.1618, -0.0899, -2.5363, -0.2643, 0.0201
680.0000, 0.1176, 0.3221, 0.0091, 0.0259, 0.3272, 0.8910, 1.1005, 0.8497, 1.1621, -2.5441, 0.0348, -0.0027, -0.0764, 1.1601, -0.0886, -2.5454, -0.2643, 0.0202
700.0000, 0.1176, 0.3221, 0.0098, 0.0267, 0.3253, 0.8887, 1.1477, 0.9080, 1.2136, -2.7261, 0.0348, -0.0027, -0.0763, 1.1587, -0.0886, -2.5441, -0.2644, 0.0202
720.0000, 0.1342, 0.3408, 0.0098, 0.0267, 0.3253, 0.8887, 1.1477, 0.9080, 1.2180, -2.7039, 0.0363, -0.0028, -0.0818, 1.2098, -0.0958, -2.7261, -0.2627, 0.0217
740.0000, 0.1342, 0.3408, 0.0105, 0.0275, 0.3731, 0.9424, 1.1926, 0.9597, 1.2180, -2.7039, 0.0364, -0.0029, -0.0814, 1.2140, -0.0995, -2.7039, -0.2626, 0.0215
760.0000, 0.1516, 0.3587, 0.0119, 0.0290, 0.4235, 0.9936, 1.1900, 0.9587, 1.2665, -2.8664, 0.0371, -0.0030, -0.0836, 1.2623, -0.1026, -2.8664, -0.2618, 0.0220
780.0000, 0.1516, 0.3587, 0.0119, 0.0290, 0.4235, 0.9936, 1.1900, 0.9587, 1.2677, -2.8441, 0.0378, -0.0032, -0.0858, 1.2611, -0.1087, -2.8536, -0.2610, 0.0225
800.0000, 0.1516, 0.3587, 0.0126, 0.0297, 0.4191, 0.9889, 1.2401, 1.0111, 1.2677, -2.8441, 0.0379, -0.0033, -0.0853, 1.2631, -0.1082, -2.8441, -0.2610, 0.0223
820.0000, 0.1700, 0.3756, 0.0134, 0.0304, 0.4721, 1.0377, 1.2900, 1.0581, 1.3218, -3.0057, 0.0395, -0.0034, -0.0902, 1.3167, -0.1158, -3.0057, -0.2593, 0.0236
840.0000, 0.1700, 0.3756, 0.0134, 0.0304, 0.4721, 1.0377, 1.2900, 1.0581, 1.3834, -3.1090, 0.0412, -0.0038, -0.0938, 1.3743, -0.1267, -3.1256, -0.2575, 0.0243
860.0000, 0.1892, 0.3917, 0.0141, 0.0311, 0.4699, 1.0357, 1.2846, 1.0565, 1.3774, -3.1076, 0.0413, -0.0039, -0.0933, 1.3774, -0.1292, -3.1090, -0.2574, 0.0241
880.0000, 0.1892, 0.3917, 0.0149, 0.0318, 0.5252, 1.0817, 1.2850, 1.0568, 1.3774, -3.1076, 0.0411, -0.0038, -0.0932, 1.3714, -0.1283, -3.1076, -0.2576, 0.0241
900.0000, 0.1892, 0.3917, 0.0149, 0.0318, 0.5252, 1.0817, 1.2850, 1.0568, 1.3778, -3.1086, 0.0412, -0.0038, -0.0933, 1.3718, -0.1283, -3.1086, -0.2575, 0.0241
920.0000, 0.2092, 0.4067, 0.0166, 0.0331, 0.5827, 1.1248, 1.4052, 1.1519, 1.5063, -3.3867, 0.0412, -0.0038, -0.0933, 1.3718, -0.1283, -3.1084, -0.2575, 0.0241
940.0000, 0.2092, 0.4067, 0.0174, 0.0337, 0.5776, 1.1208, 1.3991, 1.1487, 1.5063, -3.3867, 0.0450, -0.0043, -0.1016, 1.4992, -0.1465, -3.3867, -0.2535, 0.0261
960.0000, 0.2298, 0.4207, 0.0174, 0.0337, 0.5776, 1.1208, 1.3991, 1.1487, 1.5084, -3.3362, 0.0450, -0.0046, -0.1001, 1.5007, -0.1518, -3.3362, -0.2535, 0.0254
980.0000, 0.2298, 0.4207, 0.0182, 0.0342, 0.6373, 1.1612, 1.3903, 1.1457, 1.5068, -3.3438, 0.0450, -0.0045, -0.1003, 1.4993, -0.1507, -3.3438, -0.2535, 0.0255
1000.0000, 0.2298, 0.4207, 0.0191, 0.0348, 0.6349, 1.1595, 1.4530, 1.1874, 1.4980, -3.3356, 0.0447, -0.0045, -0.1001, 1.4905, -0.1498, -3.3356, -0.2538, 0.0255
1020.0000, 0.2512, 0.4337, 0.0191, 0.0348, 0.6349, 1.1595, 1.4530, 1.1874, 1.5643, -3.4542, 0.0467, -0.0047, -0.1036, 1.5562, -0.1590, -3.4542, -0.2517, 0.0263
1040.0000, 0.2512, 0.4337, 0.0200, 0.0353, 0.6964, 1.1967, 1.4472, 1.1850, 1.5680, -3.4356, 0.0467, -0.0048, -0.1033, 1.5596, -0.1622, -3.4356, -0.2517, 0.0261
1060.0000, 0.2732, 0.4456, 0.0218, 0.0364, 0.7597, 1.2308, 1.5171, 1.2279, 1.6353, -3.5514, 0.0467, -0.0048, -0.1030, 1.5535, -0.1607, -3.4314, -0.2517, 0.0260
1080.0000, 0.2732, 0.4456, 0.0218, 0.0364, 0.7597, 1.2308, 1.5171, 1.2279, 1.6353, -3.5514, 0.0488, -0.0051, -0.1065, 1.6263, -0.1710, -3.5514, -0.2495, 0.0268
1100.0000, 0.2732, 0.4456, 0.0227, 0.0369, 0.7541, 1.2276, 1.5736, 1.2601, 1.6390, -3.5321, 0.0489, -0.0052, -0.1060, 1.6298, -0.1738, -3.5321, -0.2494, 0.0265
1120.0000, 0.2958, 0.4564, 0.0236, 0.0373, 0.8191, 1.2585, 1.5649, 1.2569, 1.6920, -3.5991, 0.0507, -0.0054, -0.1087, 1.6883, -0.1819, -3.6220, -0.2476, 0.0271
1140.0000, 0.2958, 0.4564, 0.0236, 0.0373, 0.8191, 1.2585, 1.5649, 1.2569, 1.6920, -3.5991, 0.0505, -0.0055, -0.1080, 1.6821, -0.1829, -3.5991, -0.2478, 0.0268
1160.0000, 0.3188, 0.4660, 0.0245, 0.0377, 0.8165, 1.2573, 1.6333, 1.2899, 1.7629, -3.6872, 0.0504, -0.0055, -0.1081, 1.6814, -0.1824, -3.6030, -0.2478, 0.0269
1180.0000, 0.3188, 0.4660, 0.0255, 0.0381, 0.8829, 1.2848, 1.6302, 1.2890, 1.7625, -3.6706, 0.0526, -0.0057, -0.1106, 1.7524, -0.1924, -3.6872, -0.2456, 0.0274
1200.0000, 0.3423, 0.4745, 0.0255, 0.0381, 0.8829, 1.2848, 1.6302, 1.2890, 1.7625, -3.6706, 0.0526, -0.0058, -0.1101, 1.7518, -0.1941, -3.6706, -0.2456, 0.0271
1220.0000, 0.3423, 0.4745, 0.0275, 0.0389, 0.9505, 1.3091, 1.6962, 1.3178, 1.7620, -3.6736, 0.0525, -0.0058, -0.1102, 1.7513, -0.1937, -3.6736, -0.2456, 0.0272
1240.0000, 0.3423, 0.4745, 0.0284, 0.0392, 0.9445, 1.3068, 1.7668, 1.3437, 1.8309, -3.7443, 0.0546, -0.0061, -0.1123, 1.8195, -0.2033, -3.7443, -0.2435, 0.0276
1260.0000, 0.3663, 0.4818, 0.0284, 0.0392, 0.9445, 1.3068, 1.7668, 1.3437, 1.9063, -3.7905, 0.0568, -0.0064, -0.1137, 1.8941, -0.2150, -3.7905, -0.2412, 0.0276
1280.0000, 0.3663, 0.4818, 0.0294, 0.0395, 1.0135, 1.3276, 1.8253, 1.3633, 1.9679, -3.8265, 0.0569, -0.0065, -0.1134, 1.8955, -0.2162, -3.7817, -0.2412, 0.0275
1300.0000, 0.3905, 0.4879, 0.0304, 0.0398, 1.0106, 1.3268, 1.8224, 1.3634, 1.9679, -3.8265, 0.0578, -0.0066, -0.1141, 1.9552, -0.2228, -3.8265, -0.2403, 0.0276
1320.0000, 0.3905, 0.4879, 0.0304, 0.0398, 1.0106, 1.3268, 1.8224, 1.3634, 1.9658, -3.8235, 0.0586, -0.0067, -0.1147, 1.9529, -0.2251, -3.8235, -0.2394, 0.0276
1340.0000, 0.3905, 0.4879, 0.0314, 0.0401, 1.0804, 1.3441, 1.8928, 1.3816, 1.9665, -3.8197, 0.0586, -0.0068, -0.1146, 1.9536, -0.2251, -3.8197, -0.2394, 0.0276
1360.0000, 0.4150, 0.4927, 0.0335, 0.0405, 1.1510, 1.3580, 1.8895, 1.3816, 2.0384, -3.8532, 0.0608, -0.0070, -0.1156, 2.0250, -0.2341, -3.8532, -0.2372, 0.0276
1380.0000, 0.4150, 0.4927, 0.0335, 0.0405, 1.1510, 1.3580, 1.8895, 1.3816, 2.0363, -3.8481, 0.0607, -0.0070, -0.1154, 2.0227, -0.2347, -3.8481, -0.2373, 0.0275
1400.0000, 0.4397, 0.4964, 0.0344, 0.0407, 1.1446, 1.3566, 1.9633, 1.3970, 2.1120, -3.8669, 0.0629, -0.0073, -0.1162, 2.0970, -0.2439, -3.8720, -0.2351, 0.0275
1420.0000, 0.4397, 0.4964, 0.0354, 0.0409, 1.2159, 1.3669, 1.9531, 1.3965, 2.1120, -3.8669, 0.0629, -0.0073, -0.1160, 2.0978, -0.2446, -3.8669, -0.2350, 0.0274
1440.0000, 0.4397, 0.4964, 0.0364, 0.0410, 1.2130, 1.3665, 2.0282, 1.4071, 2.1776, -3.8756, 0.0626, -0.0073, -0.1161, 2.0875, -0.2434, -3.8701, -0.2354, 0.0275
1460.0000, 0.4646, 0.4987, 0.0364, 0.0410, 1.2130, 1.3665, 2.0282, 1.4071, 2.1776, -3.8756, 0.0649, -0.0076, -0.1163, 2.1629, -0.2524, -3.8756, -0.2331, 0.0272
1480.0000, 0.4646, 0.4987, 0.0375, 0.0411, 1.2846, 1.3732, 2.0216, 1.4079, 2.1778, -3.8744, 0.0649, -0.0076, -0.1162, 2.1631, -0.2526, -3.8744, -0.2331, 0.0272
1500.0000, 0.4896, 0.4999, 0.0396, 0.0412, 1.3564, 1.3764, 2.0968, 1.4147, 2.2469, -3.8720, 0.0647, -0.0076, -0.1164, 2.1565, -0.2520, -3.8797, -0.2333, 0.0273
1520.0000, 0.4896, 0.4999, 0.0396, 0.0412, 1.3564, 1.3764, 2.0968, 1.4147, 2.2469, -3.8720, 0.0670, -0.0078, -0.1162, 2.2317, -0.2607, -3.8720, -0.2310, 0.0269
1540.0000, 0.4896, 0.4999, 0.0406, 0.0413, 1.3500, 1.3759, 2.1683, 1.4192, 2.2466, -3.8738, 0.0669, -0.0078, -0.1162, 2.2315, -0.2604, -3.8738, -0.2310, 0.0270
1560.0000, 0.5146, 0.4998, 0.0416, 0.0413, 1.4220, 1.3755, 2.1617, 1.4194, 2.3183, -3.8608, 0.0691, -0.0081, -0.1158, 2.3027, -0.2684, -3.8608, -0.2289, 0.0266
1580.0000, 0.5146, 0.4998, 0.0416, 0.0413, 1.4220, 1.3755, 2.1617, 1.4194, 2.3112, -3.8670, 0.0689, -0.0080, -0.1160, 2.2957, -0.2673, -3.8670, -0.2291, 0.0267
1600.0000, 0.5396, 0.4984, 0.0426, 0.0413, 1.4191, 1.3755, 2.2342, 1.4192, 2.3114, -3.8656, 0.0689, -0.0080, -0.1160, 2.2959, -0.2675, -3.8656, -0.2291, 0.0267
1620.0000, 0.5396, 0.4984, 0.0436, 0.0412, 1.4908, 1.3715, 2.3059, 1.4158, 2.4538, -3.8018, 0.0710, -0.0083, -0.1151, 2.3676, -0.2748, -3.8372, -0.2270, 0.0262
1640.0000, 0.5396, 0.4984, 0.0436, 0.0412, 1.4908, 1.3715, 2.3059, 1.4158, 2.4538, -3.8018, 0.0721, -0.0083, -0.1146, 2.4375, -0.2818, -3.8018, -0.2260, 0.0260
1660.0000, 0.5644, 0.4958, 0.0458, 0.0410, 1.5623, 1.3639, 2.2966, 1.4179, 2.4527, -3.8096, 0.0731, -0.0084, -0.1143, 2.4367, -0.2794, -3.8096, -0.2249, 0.0258
1680.0000, 0.5644, 0.4958, 0.0468, 0.0409, 1.5559, 1.3644, 2.3718, 1.4093, 2.4433, -3.8225, 0.0728, -0.0084, -0.1147, 2.4273, -0.2791, -3.8225, -0.2252, 0.0260
